datetime,parameter,value,unit,location_id,location,latitude,longitude
2026-05-20T04:00:00Z,pm25,42.4,µg/m³,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-05-20T04:00:00Z,relativehumidity,77.0,%,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-05-20T04:00:00Z,temperature,25.8,c,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-05-20T04:00:00Z,um003,1678.0,particles/cm³,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-06-09T15:00:00Z,pm1,18.3,µg/m³,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,pm25,29.1,µg/m³,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,relativehumidity,57.0,%,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,temperature,24.2,c,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,um003,1029.0,particles/cm³,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,pm1,9.8,µg/m³,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,pm25,21.6,µg/m³,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,relativehumidity,56.0,%,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,temperature,24.7,c,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,um003,746.0,particles/cm³,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,pm1,14.3,µg/m³,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,pm25,25.0,µg/m³,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,relativehumidity,48.0,%,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,temperature,28.4,c,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,um003,861.0,particles/cm³,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,pm1,23.4,µg/m³,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-06-09T15:00:00Z,pm25,34.1,µg/m³,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-06-09T15:00:00Z,relativehumidity,47.0,%,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-06-09T15:00:00Z,temperature,29.2,c,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-06-09T15:00:00Z,um003,1668.0,particles/cm³,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-05-11T06:00:00Z,pm1,10.8,µg/m³,5699844,Farsidol Relocated,27.609972,85.296917
2026-05-11T06:00:00Z,pm25,19.5,µg/m³,5699844,Farsidol Relocated,27.609972,85.296917
2026-05-11T06:00:00Z,relativehumidity,50.0,%,5699844,Farsidol Relocated,27.609972,85.296917
2026-05-11T06:00:00Z,temperature,26.2,c,5699844,Farsidol Relocated,27.609972,85.296917
2026-05-11T06:00:00Z,um003,797.0,particles/cm³,5699844,Farsidol Relocated,27.609972,85.296917
2026-04-06T10:00:00Z,pm1,1729.3,µg/m³,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-04-06T10:00:00Z,pm25,1734.6,µg/m³,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-04-06T10:00:00Z,relativehumidity,58.0,%,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-04-06T10:00:00Z,temperature,23.1,c,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-04-06T10:00:00Z,um003,8797.0,particles/cm³,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-06-09T08:00:00Z,pm1,26.1,µg/m³,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T08:00:00Z,pm25,38.9,µg/m³,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T08:00:00Z,relativehumidity,35.0,%,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T08:00:00Z,temperature,34.2,c,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T08:00:00Z,um003,1577.0,particles/cm³,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T15:00:00Z,pm1,13.8,µg/m³,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-09T15:00:00Z,pm25,25.3,µg/m³,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-09T15:00:00Z,relativehumidity,56.0,%,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-09T15:00:00Z,temperature,24.8,c,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-09T15:00:00Z,um003,872.0,particles/cm³,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-04T15:00:00Z,pm1,36.8,µg/m³,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
2026-06-04T15:00:00Z,pm25,56.0,µg/m³,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
2026-06-04T15:00:00Z,relativehumidity,48.0,%,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
2026-06-04T15:00:00Z,temperature,26.7,c,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
2026-06-04T15:00:00Z,um003,2838.0,particles/cm³,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
